Project name,Impact,SA scenario,Total
Sal de los Angeles,Climate change,2035_BAT_Fuel mix_0CCS,27.428316920375337
Salar de Pastos Grandes,Climate change,2035_BAT_Fuel mix_0CCS,3.2606969528901266
Sal de Vida,Climate change,2035_BAT_Fuel mix_0CCS,2.0744233018924763
Qinghai Yiliping,Climate change,2035_BAT_Fuel mix_0CCS,20.636975076564553
Chaerhan,Climate change,2035_BAT_Fuel mix_0CCS,21.479856766011306
Zhabuye,Water scarcity,2035_BAT_Fuel mix_0CCS,3.3536489913237557
Fenix,Water scarcity,2035_BAT_Fuel mix_0CCS,3.7780904405470928
Upper Rhine Graben,Water scarcity,2035_BAT_Fuel mix_0CCS,0.9017704912694451
Salar de Arizaro,Water scarcity,2035_BAT_Fuel mix_0CCS,9.39134280250409
Salar de Centenario,Water scarcity,2035_BAT_Fuel mix_0CCS,4.083022425110778
Kachi,Water scarcity,2035_BAT_Fuel mix_0CCS,5.603652443208121
Salar del Hombre Muerto North,Water scarcity,2035_BAT_Fuel mix_0CCS,2.1735434705173597
East Taijinar,Water scarcity,2035_BAT_Fuel mix_0CCS,6.574137120536832
Salar de Olaroz,Water scarcity,2035_BAT_Fuel mix_0CCS,2.016580736179519
Maricunga,Water scarcity,2035_BAT_Fuel mix_0CCS,15.70683205937847
Salar de Atacama,Water scarcity,2035_BAT_Fuel mix_0CCS,5.362901717604457
Lakkor Tso,Water scarcity,2035_BAT_Fuel mix_0CCS,9.40454542161339
Salar del Rincon,Water scarcity,2035_BAT_Fuel mix_0CCS,5.794414635700079
Silver Peak,Water scarcity,2035_BAT_Fuel mix_0CCS,3.455707671550459
Salar de Tolillar,Water scarcity,2035_BAT_Fuel mix_0CCS,5.136827041593537
Tres Quebradas,Water scarcity,2035_BAT_Fuel mix_0CCS,7.543960534581974
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_Fuel mix_0CCS,1.500959312124452
Pozuelos,Water scarcity,2035_BAT_Fuel mix_0CCS,16.390043380366592
Salar de Uyuni,Water scarcity,2035_BAT_Fuel mix_0CCS,7.466011729475589
Sal de los Angeles,Water scarcity,2035_BAT_Fuel mix_0CCS,4.81064725786683
Salar de Pastos Grandes,Water scarcity,2035_BAT_Fuel mix_0CCS,11.27219779149484
Sal de Vida,Water scarcity,2035_BAT_Fuel mix_0CCS,1.0648139924774038
Qinghai Yiliping,Water scarcity,2035_BAT_Fuel mix_0CCS,8.244735727545994
Chaerhan,Water scarcity,2035_BAT_Fuel mix_0CCS,6.1437423315945905
Zhabuye,Climate change,2035_BAT_Biomass_0CCS,2.744324712246224
Fenix,Climate change,2035_BAT_Biomass_0CCS,19.52868717331242
Upper Rhine Graben,Climate change,2035_BAT_Biomass_0CCS,2.752334312669309
Salar de Arizaro,Climate change,2035_BAT_Biomass_0CCS,30.416987208252145
Salar de Centenario,Climate change,2035_BAT_Biomass_0CCS,19.085855678431276
Kachi,Climate change,2035_BAT_Biomass_0CCS,26.85388413891739
Salar del Hombre Muerto North,Climate change,2035_BAT_Biomass_0CCS,5.265759179663002
East Taijinar,Climate change,2035_BAT_Biomass_0CCS,12.577609983669937
Salar de Olaroz,Climate change,2035_BAT_Biomass_0CCS,2.637076211808348
Maricunga,Climate change,2035_BAT_Biomass_0CCS,4.2659777914691
Salar de Atacama,Climate change,2035_BAT_Biomass_0CCS,2.7110490165994525
Lakkor Tso,Climate change,2035_BAT_Biomass_0CCS,27.649147662218628
Salar del Rincon,Climate change,2035_BAT_Biomass_0CCS,22.327656168028568
Silver Peak,Climate change,2035_BAT_Biomass_0CCS,1.537106849902829
Salar de Tolillar,Climate change,2035_BAT_Biomass_0CCS,25.397653703692598
Tres Quebradas,Climate change,2035_BAT_Biomass_0CCS,3.767476930455873
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Biomass_0CCS,3.672662112346659
Pozuelos,Climate change,2035_BAT_Biomass_0CCS,34.09261805649469
Salar de Uyuni,Climate change,2035_BAT_Biomass_0CCS,18.9113584674752
Sal de los Angeles,Climate change,2035_BAT_Biomass_0CCS,26.58343016205223
Salar de Pastos Grandes,Climate change,2035_BAT_Biomass_0CCS,2.998868528263512
Sal de Vida,Climate change,2035_BAT_Biomass_0CCS,1.8232231219460746
Qinghai Yiliping,Climate change,2035_BAT_Biomass_0CCS,20.38800843258404
Chaerhan,Climate change,2035_BAT_Biomass_0CCS,21.23086361465932
Zhabuye,Water scarcity,2035_BAT_Biomass_0CCS,3.3605373423276115
Fenix,Water scarcity,2035_BAT_Biomass_0CCS,3.83526604579273
Upper Rhine Graben,Water scarcity,2035_BAT_Biomass_0CCS,0.917227561577227
Salar de Arizaro,Water scarcity,2035_BAT_Biomass_0CCS,9.509724528452907
Salar de Centenario,Water scarcity,2035_BAT_Biomass_0CCS,4.145566717250928
Kachi,Water scarcity,2035_BAT_Biomass_0CCS,5.678735807339447
Salar del Hombre Muerto North,Water scarcity,2035_BAT_Biomass_0CCS,2.1878258278600384
East Taijinar,Water scarcity,2035_BAT_Biomass_0CCS,6.590540388525518
Salar de Olaroz,Water scarcity,2035_BAT_Biomass_0CCS,2.0334825615061916
Maricunga,Water scarcity,2035_BAT_Biomass_0CCS,15.726739608823605
Salar de Atacama,Water scarcity,2035_BAT_Biomass_0CCS,5.3785360243070715
Lakkor Tso,Water scarcity,2035_BAT_Biomass_0CCS,9.41807651983561
Salar del Rincon,Water scarcity,2035_BAT_Biomass_0CCS,5.857259586608093
Silver Peak,Water scarcity,2035_BAT_Biomass_0CCS,3.469531637710706
Salar de Tolillar,Water scarcity,2035_BAT_Biomass_0CCS,5.202942476435187
Tres Quebradas,Water scarcity,2035_BAT_Biomass_0CCS,7.558087702723434
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_Biomass_0CCS,1.5145539422276304
Pozuelos,Water scarcity,2035_BAT_Biomass_0CCS,16.47645264325009
Salar de Uyuni,Water scarcity,2035_BAT_Biomass_0CCS,7.640713351263076
Sal de los Angeles,Water scarcity,2035_BAT_Biomass_0CCS,4.856524465289748
Salar de Pastos Grandes,Water scarcity,2035_BAT_Biomass_0CCS,11.286362801005033
Sal de Vida,Water scarcity,2035_BAT_Biomass_0CCS,1.0784543841760632
Qinghai Yiliping,Water scarcity,2035_BAT_Biomass_0CCS,8.258254338244482
Chaerhan,Water scarcity,2035_BAT_Biomass_0CCS,6.157262330647843
Zhabuye,Climate change,2035_BAT_NG_0CCS,2.9465417350379393
Fenix,Climate change,2035_BAT_NG_0CCS,20.736401171566662
Upper Rhine Graben,Climate change,2035_BAT_NG_0CCS,3.0949560591590695
Salar de Arizaro,Climate change,2035_BAT_NG_0CCS,32.917562195668125
Salar de Centenario,Climate change,2035_BAT_NG_0CCS,20.406972361314832
Kachi,Climate change,2035_BAT_NG_0CCS,28.439861899034103
Salar del Hombre Muerto North,Climate change,2035_BAT_NG_0CCS,5.5701049971365455
East Taijinar,Climate change,2035_BAT_NG_0CCS,12.9462695494725
Salar de Olaroz,Climate change,2035_BAT_NG_0CCS,3.0222291180038536
Maricunga,Climate change,2035_BAT_NG_0CCS,4.688829778586486
Salar de Atacama,Climate change,2035_BAT_NG_0CCS,3.04163132556981
Lakkor Tso,Climate change,2035_BAT_NG_0CCS,27.934970428537483
Salar del Rincon,Climate change,2035_BAT_NG_0CCS,23.65512852038534
Silver Peak,Climate change,2035_BAT_NG_0CCS,1.8318610062665261
Salar de Tolillar,Climate change,2035_BAT_NG_0CCS,26.794203998740898
Tres Quebradas,Climate change,2035_BAT_NG_0CCS,4.065886075283903
Salar de Cauchari-Olaroz,Climate change,2035_BAT_NG_0CCS,3.9603778104256695
Pozuelos,Climate change,2035_BAT_NG_0CCS,35.91783712774141
Salar de Uyuni,Climate change,2035_BAT_NG_0CCS,22.601553082903557
Sal de los Angeles,Climate change,2035_BAT_NG_0CCS,27.552494612902603
Salar de Pastos Grandes,Climate change,2035_BAT_NG_0CCS,3.2985453668190416
Sal de Vida,Climate change,2035_BAT_NG_0CCS,2.111346808399657
Qinghai Yiliping,Climate change,2035_BAT_NG_0CCS,20.67356397703906
Chaerhan,Climate change,2035_BAT_NG_0CCS,21.51644946012669
Zhabuye,Water scarcity,2035_BAT_NG_0CCS,3.3476935516949697
Fenix,Water scarcity,2035_BAT_NG_0CCS,3.758558226353346
