Impact,Lithium scenario,IAM scenario,Year,Country,Intensity,Total
Water scarcity,S&P-Ambitious,SSP2-2°C,2035,CN,11.574080195081873,1.8174807065537553
Water scarcity,S&P-Ambitious,SSP2-2°C,2035,DE,4.41910047937194,0.09799797223055212
Water scarcity,S&P-Ambitious,SSP2-2°C,2035,US,4.005230824810017,0.10755646856944819
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2020,World,6.908680231346554,1.2220004506403472
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2020,AR,7.55615758186075,0.23970398696936857
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2020,CL,6.059109852988448,0.679832125505304
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2020,CN,11.393530167228814,0.26154987851890477
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2020,US,4.0914484582988475,0.040914484582988485
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2025,World,7.774239377342573,4.727068724021759
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2025,AR,6.702645148493687,1.214291410972007
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2025,BO,32.963040985738644,0.1483336844358239
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2025,CL,6.041991901576793,1.6471738741997666
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2025,CN,12.458795519097066,1.6452537175516748
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2025,US,4.068704057241055,0.07201606181316668
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2030,World,9.37303435475971,10.08773806599621
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2030,AR,10.257252005244215,5.046373098792055
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2030,BO,32.0370231511612,0.7496663417371722
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2030,CL,6.322365646333113,2.357907300702996
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2030,CN,11.716448323390585,1.7748808198292274
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2030,DE,4.706963541639845,0.08350529879952417
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2030,US,4.033212523095817,0.07540494133179942
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2035,World,10.677800215979298,13.364711142777303
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2035,AR,11.763346296936852,7.328776483225004
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2035,BO,31.094005485752078,1.5391532715447278
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2035,CL,6.569043006545976,2.450627476893022
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2035,CN,11.721053742316652,1.8405599994194195
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2035,DE,4.420103223144043,0.09802020907644231
Water scarcity,S&P-Very Ambitious,SSP2-NDC,2035,US,4.005879381820943,0.1075738849194196
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2020,World,6.908680231346554,1.2220004506403472
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2020,AR,7.55615758186075,0.23970398696936857
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2020,CL,6.059109852988448,0.679832125505304
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2020,CN,11.393530167228814,0.26154987851890477
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2020,US,4.0914484582988475,0.040914484582988485
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2025,World,7.765386691509779,4.721685913911004
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2025,AR,6.673826269928626,1.2090704100178893
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2025,BO,32.92050405361794,0.14814226824128074
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2025,CL,6.04712649593268,1.6485736724476627
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2025,CN,12.44836544335205,1.6438763676411212
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2025,US,4.069108512880103,0.07202322067797781
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2030,World,9.318882863613457,10.029457466790989
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2030,AR,10.178654792102396,5.007704763273329
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2030,BO,31.804062994945276,0.7442150740817195
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2030,CL,6.3253281307747145,2.3590121503880375
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2030,CN,11.617109584463266,1.759832366789399
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2030,DE,4.693862010894989,0.08327286716288584
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2030,US,4.034016985454092,0.07541998156004971
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2035,World,10.528534733702138,13.177885203550959
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2035,AR,11.510867345116393,7.171477551619725
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2035,BO,30.949866810814193,1.5320184071353025
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2035,CL,6.570991233900937,2.451354276745382
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2035,CN,11.574080195782761,1.817480706663816
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2035,DE,4.419100479204859,0.09799797222684696
Water scarcity,S&P-Very Ambitious,SSP2-2°C,2035,US,4.005230824728222,0.10755646856725166
