Impact,Lithium scenario,Source,Variation,2035 intensity var
Water scarcity,S&P-Baseline,Direct emissions,0.0,7.328979418414827
Water scarcity,S&P-Baseline,Direct emissions,10.000000000000009,7.6434069770718285
Water scarcity,S&P-Baseline,Direct emissions,20.000000000000018,7.957834535728829
Water scarcity,S&P-Baseline,Direct emissions,30.000000000000004,8.27226209438583
Water scarcity,S&P-Baseline,Direct emissions,40.000000000000014,8.586689653042832
Water scarcity,S&P-Baseline,Direct emissions,50.0,8.901117211699832
Water scarcity,S&P-Baseline,Direct emissions,60.00000000000001,9.215544770356834
Water scarcity,S&P-Baseline,Direct emissions,70.00000000000001,9.529972329013836
Water scarcity,S&P-Baseline,Direct emissions,80.0,9.844399887670836
Water scarcity,S&P-Baseline,Direct emissions,90.00000000000001,10.158827446327837
Water scarcity,S&P-Baseline,Direct emissions,100.0,10.473255004984837
Water scarcity,S&P-Ambitious,Electricity,-100.0,8.135451722570124
Water scarcity,S&P-Ambitious,Electricity,-90.0,8.247308871418182
Water scarcity,S&P-Ambitious,Electricity,-80.0,8.359166020266242
Water scarcity,S&P-Ambitious,Electricity,-70.0,8.471023169114298
Water scarcity,S&P-Ambitious,Electricity,-60.0,8.582880317962358
Water scarcity,S&P-Ambitious,Electricity,-50.0,8.694737466810416
Water scarcity,S&P-Ambitious,Electricity,-39.99999999999999,8.806594615658472
Water scarcity,S&P-Ambitious,Electricity,-29.999999999999993,8.918451764506534
Water scarcity,S&P-Ambitious,Electricity,-19.999999999999996,9.03030891335459
Water scarcity,S&P-Ambitious,Electricity,-9.999999999999998,9.142166062202651
Water scarcity,S&P-Ambitious,Electricity,0.0,9.254023211050708
Water scarcity,S&P-Ambitious,Electricity,10.000000000000009,9.365880359898766
Water scarcity,S&P-Ambitious,Electricity,20.000000000000018,9.477737508746825
Water scarcity,S&P-Ambitious,Electricity,30.000000000000004,9.589594657594883
Water scarcity,S&P-Ambitious,Electricity,40.000000000000014,9.701451806442941
Water scarcity,S&P-Ambitious,Electricity,50.0,9.813308955291001
Water scarcity,S&P-Ambitious,Electricity,60.00000000000001,9.925166104139057
Water scarcity,S&P-Ambitious,Electricity,70.00000000000001,10.037023252987119
Water scarcity,S&P-Ambitious,Electricity,80.0,10.148880401835175
Water scarcity,S&P-Ambitious,Electricity,90.00000000000001,10.260737550683235
Water scarcity,S&P-Ambitious,Electricity,100.0,10.372594699531293
Water scarcity,S&P-Ambitious,Heat,-100.0,9.100076842741885
Water scarcity,S&P-Ambitious,Heat,-90.0,9.115471479572767
Water scarcity,S&P-Ambitious,Heat,-80.0,9.130866116403649
Water scarcity,S&P-Ambitious,Heat,-70.0,9.146260753234532
Water scarcity,S&P-Ambitious,Heat,-60.0,9.161655390065414
Water scarcity,S&P-Ambitious,Heat,-50.0,9.177050026896296
Water scarcity,S&P-Ambitious,Heat,-39.99999999999999,9.19244466372718
Water scarcity,S&P-Ambitious,Heat,-29.999999999999993,9.20783930055806
Water scarcity,S&P-Ambitious,Heat,-19.999999999999996,9.223233937388944
Water scarcity,S&P-Ambitious,Heat,-9.999999999999998,9.238628574219828
Water scarcity,S&P-Ambitious,Heat,0.0,9.254023211050708
Water scarcity,S&P-Ambitious,Heat,10.000000000000009,9.269417847881591
Water scarcity,S&P-Ambitious,Heat,20.000000000000018,9.284812484712473
Water scarcity,S&P-Ambitious,Heat,30.000000000000004,9.300207121543355
Water scarcity,S&P-Ambitious,Heat,40.000000000000014,9.315601758374239
Water scarcity,S&P-Ambitious,Heat,50.0,9.33099639520512
Water scarcity,S&P-Ambitious,Heat,60.00000000000001,9.346391032036003
Water scarcity,S&P-Ambitious,Heat,70.00000000000001,9.361785668866887
Water scarcity,S&P-Ambitious,Heat,80.0,9.377180305697769
Water scarcity,S&P-Ambitious,Heat,90.00000000000001,9.39257494252865
Water scarcity,S&P-Ambitious,Heat,100.0,9.40796957935953
Water scarcity,S&P-Ambitious,Reagents,-100.0,5.454013325735493
