Impact category,LCI dataset,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_boiler_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29
Water scarcity,"heat production, industrial electric boiler, Kachi|heat, central or small-scale, other than natural gas|AR",,,,0.1383441230597002,
Water scarcity,"heat production, industrial electric boiler, Sal de Vida|heat, central or small-scale, other than natural gas|AR",,,,0.004855256272297786,
Water scarcity,"heat production, industrial electric boiler, Lakkor Tso|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.013403661324085641,
Water scarcity,"heat production, industrial electric boiler, East Taijinar|heat, central or small-scale, other than natural gas|CN-NWG",,,,0.013403661324085641,
Water scarcity,"heat production, industrial electric boiler, Upper Rhine Graben|heat, central or small-scale, other than natural gas|DE",,,,0.01711879623463518,
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar del Hombre Muerto North|heat, central or small-scale, other than natural gas|AR",,,,,0.04460344807254362
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Centenario|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
Climate change,"heat production, at heat pump 30kW, allocation exergy, Maricunga|heat, central or small-scale, other than natural gas|CL",,,,,0.0035933582327812635
Climate change,"heat production, at heat pump 30kW, allocation exergy, Salar de Olaroz|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
Climate change,"heat production, at heat pump 30kW, allocation exergy, Zhabuye|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.02226562719148523
Climate change,"heat production, at heat pump 30kW, allocation exergy, Upper Rhine Graben|heat, central or small-scale, other than natural gas|DE",,,,,0.002586887011448374
Climate change,"heat production, at heat pump 30kW, allocation exergy, Fenix|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
Climate change,"heat production, at heat pump 30kW, allocation exergy, East Taijinar|heat, central or small-scale, other than natural gas|CN-NWG",,,,,0.02226562719148523
Climate change,"heat production, at heat pump 30kW, allocation exergy, Tres Quebradas|heat, central or small-scale, other than natural gas|AR",,,,,0.009121245352309647
