scenario,project,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Baseline,#14,0.07633466946330542,0.10372303761637365,0.10641543819441328,0.11200917293608938,0.10057001815763253,0.08762324693647223,0.10125673780905133,0.11100086025399122,0.11269581023015696,0.10946636852981262,0.1058680252794212,0.10681552774749146,0.10232660171538453,0.09938703027513635,0.09441463543646084,0.09108325288230021
S&P-Baseline,#15,0.0,0.0,0.0,0.0,0.0,0.013632547023372075,0.027611606234485005,0.04260509347067667,0.04080138749317208,0.0375036900716659,0.034422673651896316,0.03304682786980513,0.03165803385238467,0.03074858263826418,0.029210211955652675,0.028179541339147636
S&P-Baseline,#1,0.05344896793853425,0.04710088319900008,0.04121868129213076,0.03731035517008673,0.06291695538482549,0.05069718047749983,0.04602057690813643,0.04438000839293941,0.04250116058627651,0.039066082117441635,0.035856711513378346,0.034423548424588925,0.03297689768101986,0.03202955901261826,0.030427100286580258,0.0293534922532513
S&P-Baseline,#16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#12,0.0,0.0,0.0,0.0043302756879702075,0.0,0.022575314473210567,0.027191707084272095,0.03293715864662292,0.03154274907975225,0.04286764105495223,0.0575056388674704,0.06973539292573182,0.0734643603560137,0.07135392443848658,0.0677840432918725,0.0653923105035276
S&P-Baseline,#17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#3,0.0,0.0,0.008628931772762258,0.007810742582918843,0.006322295448453061,0.00509437482188792,0.004624439980318384,0.00445958523181593,0.004270786666091534,0.004710729786258487,0.012971196737023398,0.024905497473475646,0.031811790841451686,0.0386224032468567,0.0366901004299774,0.03539550494784915
S&P-Baseline,#24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#18,0.6343319444365922,0.6819288845591818,0.7092981917210577,0.6826589017471069,0.6286890593941724,0.5721614627458049,0.5157323448130431,0.49344061906178355,0.4925805758643325,0.4697209991771925,0.44367978438988537,0.4234681735415064,0.40369295126930704,0.39030255825143506,0.36870615724092887,0.3544057522414941
S&P-Baseline,#4,0.06740200928318228,0.05795016956317952,0.04439757975721637,0.05218513334499737,0.05930313130648971,0.07506255637562537,0.07861547966541252,0.0758129489408708,0.07260337332355608,0.06673533863866189,0.06125287348038827,0.03844025171156113,0.03682479888155045,0.03576692023347243,0.033977479004854406,0.03277859728203817
S&P-Baseline,#10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,#2,0.1119465849535558,0.08632098447738698,0.0727833137168951,0.06932815116598766,0.06228472583998018,0.0696523303147804,0.06322719318690506,0.06097323312348012,0.06724268190027799,0.06907971182895654,0.09343729507310711,0.10892557683899427,0.10434797592510178,0.11476389642115156,0.1387558448094362,0.13385990046194082
